trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,discrimin_resp.started,percu_or.started,responser.started,thermode_locali_pic.stopped,discrimin_resp.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,pic_a_utiliser,threshold,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,361.00742499995977,,,,360.9917390999617,365.9908729000017,365.9908780999831,366.0075739999884,373.9909827999654,373.9909827999654,373.9909827999654,376.20756690000417,376.9908862999873,376.9908862999873,376.9908862999873,376.9743343999726,3.6,5.2,360,520,8,3,1.2,0.75,466,2,475,0.8999999999999999,1,m,0.5467609000043012,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
11,0,11,0,376.9908862999873,,,,376.97522580000805,381.97426280000946,381.97426769998856,381.9910052999621,389.9743955999729,389.9743955999729,389.9743955999729,392.19106639997335,392.97443229996134,392.97443229996134,392.97443229996134,392.95785149995936,3.58,5.22,358,522,8,3,1.2,0.75,466,3,475,0.8999999999999999,1,m,0.3592425000388175,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
12,0,12,0,392.97443229996134,,,,392.9588083999697,397.9578841999755,397.95788880001055,397.97455439995974,405.9579478999949,405.9579478999949,405.9579478999949,408.17461499996716,408.95792710001115,408.95792710001115,408.95792710001115,408.94131689995993,4.57,4.23,457,423,8,3,1.2,0.75,466,0,474,0.7999999999999999,0,n,0.2876776999910362,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
13,0,13,0,408.95792710001115,,,,408.94221589999506,413.9414020999684,413.9414071000065,413.95807429996785,421.9413779999595,421.9413779999595,421.9413779999595,424.15808239998296,424.9414793999749,424.9414793999749,424.9414793999749,424.9247765999753,4.07,4.73,407,473,8,3,1.2,0.75,466,1,475,0.8999999999999999,1,m,0.3322636999655515,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
14,0,14,0,424.9414793999749,,,,424.9256543999654,429.9248780999915,429.9248831999721,429.94147359998897,437.92495089996373,437.92495089996373,437.92495089996373,440.14162359997863,440.9249372999766,440.9249372999766,440.9249372999766,440.9083296000026,4.6,4.2,459,420,8,3,1.2,0.75,466,2,475,0.8999999999999999,1,m,0.2847286000032909,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
15,0,15,0,440.9249372999766,,,,440.9092367999838,445.9083147000056,445.90831939998316,445.92498730000807,453.9084271999891,453.9084271999891,453.9084271999891,456.12512169999536,456.9084648999851,456.9084648999851,456.9084648999851,456.89190250000684,3.93,4.87,393,487,8,3,1.2,0.75,466,3,474,0.7999999999999999,1,m,0.3292079000384547,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
16,0,16,0,456.9084648999851,,,,456.89280329999747,461.891880799958,461.89188559999457,461.90853859996423,469.89197519997833,469.89197519997833,469.89197519997833,472.1086328999954,472.8919803999597,472.8919803999597,472.8919803999597,472.8753308999585,3.47,5.33,347,533,8,3,1.2,0.75,466,0,474,0.7999999999999999,1,m,0.32164030004059896,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
17,0,17,0,472.8919803999597,,,,472.87623679998796,477.87540560000343,477.8754105999833,477.89209420001134,485.8754868999822,485.8754868999822,485.8754868999822,488.09214520000387,488.8754747000057,488.8754747000057,488.8754747000057,488.8588720000116,4.18,4.62,418,462,8,3,1.2,0.75,466,1,473,0.7,0,n,0.42210399999748915,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
18,0,18,0,488.8754747000057,,,,488.85977360000834,493.85887009999715,493.8588747999747,493.87563349999255,501.85901600000216,501.85901600000216,501.85901600000216,504.07560410001315,504.8589800999616,504.8589800999616,504.8589800999616,504.8423589000013,3.97,4.83,397,483,8,3,1.2,0.75,466,2,474,0.7999999999999999,1,m,0.5265579000115395,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
19,0,19,0,504.8589800999616,,,,504.8432736999821,509.84239179996075,509.84239649999654,509.8590509999776,517.8424142000149,517.8424142000149,517.8424142000149,520.0591503999894,520.8425105999922,520.8425105999922,520.8425105999922,520.8258798999595,3.3,5.5,330,550,8,3,1.2,0.75,466,3,474,0.7999999999999999,0,n,0.4031422999687493,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
